M,N,K,TYP,ACT,IDX1,IDX2
768,768,,10,0,0,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
768,768,,10,0,-1,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,64,768,11,0,-3,0
512,512,64,11,0,-3,-2
512,512,,-3,0,-1,
512,64,512,11,0,-1,-3
12,,,14,,-6,
768,768,,10,0,-1,0
512,768,512,12,0,-1,-11
512,768,,13,0,-1,
768,3072,,10,0,-1,0
3072,768,,10,1,-1,0
512,768,512,12,0,-1,-4
512,768,,13,0,-1,
768,768,,10,0,-1,0
768,768,,10,0,-1,0
