M,N,K,TYP,ACT,IDX1,IDX2
1024,1024,,10,0,0,0
1024,2048,,10,0,-1,0
2048,4096,,10,0,-1,0
2048,4096,32,11,0,-2,-1
2048,4096,32,11,0,-2,-3
2048,1024,32,11,0,-4,-5
32,2048,4096,11,0,-5,0
32,2048,4096,11,0,-6,0
32,2048,1024,11,0,-7,0
32,3072,4096,11,0,-7,0
32,4096,2048,11,0,-7,0
32,4096,2048,11,0,-7,0
32,4096,3072,11,0,-7,0
32,1024,2048,11,0,-12,0
3072,4096,32,11,0,-12,0
1024,36548,1632,11,0,0,0
1024,1024,1600,11,0,0,0
1632,36548,1024,11,0,0,0
1632,1024,36548,11,0,0,0
1600,1024,1024,11,0,0,0
1600,1024,,-3,0,-1,
