IC,OC,FS,KS,STR,TYP,RP,IDX,APD
3,24,224,3,2,1,0,-1,0
24,24,112,1,1,4,2,-1,0
24,24,56,3,2,1,0,-1,0
24,24,28,1,1,4,0,-1,0
24,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
24,58,56,1,1,1,0,-5,0
58,58,56,1,1,4,1,-1,0
58,58,56,3,2,1,0,-1,0
58,58,28,1,1,4,0,-1,0
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,1,28,1,1,3,0,-1,-7
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,58,28,3,1,1,0,-1,0
58,58,28,1,1,4,0,-1,0
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,1,28,1,1,3,0,-1,-7
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,58,28,3,1,1,0,-1,0
58,58,28,1,1,4,0,-1,0
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,1,28,1,1,3,0,-1,-7
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,58,28,3,1,1,0,-1,0
58,58,28,1,1,4,0,-1,0
58,58,28,1,1,1,0,-1,0
58,58,28,1,1,4,1,-1,0
58,1,28,1,1,3,0,-1,-7
58,116,28,3,2,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
58,116,28,1,1,1,0,-5,0
116,116,28,1,1,4,1,-1,0
116,116,28,3,2,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,116,14,3,1,1,0,-1,0
116,116,14,1,1,4,0,-1,0
116,116,14,1,1,1,0,-1,0
116,116,14,1,1,4,1,-1,0
116,1,14,1,1,3,0,-1,-7
116,232,14,3,2,1,0,-1,0
232,232,7,1,1,4,0,-1,0
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
116,232,14,1,1,1,0,-5,0
232,232,14,1,1,4,1,-1,0
232,232,14,3,2,1,0,-1,0
232,232,7,1,1,4,0,-1,0
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,1,7,1,1,3,0,-1,-7
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,232,7,3,1,1,0,-1,0
232,232,7,1,1,4,0,-1,0
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,1,7,1,1,3,0,-1,-7
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,232,7,3,1,1,0,-1,0
232,232,7,1,1,4,0,-1,0
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,1,7,1,1,3,0,-1,-7
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,232,7,3,1,1,0,-1,0
232,232,7,1,1,4,0,-1,0
232,232,7,1,1,1,0,-1,0
232,232,7,1,1,4,1,-1,0
232,1,7,1,1,3,0,-1,-7
232,1024,7,1,1,1,0,-1,0
1024,1024,7,1,1,4,1,-1,0
1024,1000,1,1,1,0,0,-1,1
