IC,OC,FS,KS,STR,TYP,RP,IDX,APD
3,64,224,3,1,1,0,-1,0
64,64,224,1,1,4,1,-1,0
64,64,224,3,1,1,0,-1,0
64,64,224,1,1,4,2,-1,0
64,128,112,3,1,1,0,-1,0
128,128,112,1,1,4,1,-1,0
128,128,112,3,1,1,0,-1,0
128,128,112,1,1,4,2,-1,0
128,256,56,3,1,1,0,-1,0
256,256,56,1,1,4,1,-1,0
256,256,56,3,1,1,0,-1,0
256,256,56,1,1,4,1,-1,0
256,256,56,3,1,1,0,-1,0
256,256,56,1,1,4,1,-1,0
256,256,56,3,1,1,0,-1,0
256,256,56,1,1,4,2,-1,0
256,512,28,3,1,1,0,-1,0
512,512,28,1,1,4,1,-1,0
512,512,28,3,1,1,0,-1,0
512,512,28,1,1,4,1,-1,0
512,512,28,3,1,1,0,-1,0
512,512,28,1,1,4,1,-1,0
512,512,28,3,1,1,0,-1,0
512,512,28,1,1,4,2,-1,0
512,512,14,3,1,1,0,-1,0
512,512,14,1,1,4,1,-1,0
512,512,14,3,1,1,0,-1,0
512,512,14,1,1,4,1,-1,0
512,512,14,3,1,1,0,-1,0
512,512,14,1,1,4,1,-1,0
512,512,14,3,1,1,0,-1,0
512,512,14,1,1,4,1,-1,0
2048,4096,1,1,1,0,1,-1,7
4096,4096,1,1,1,0,1,-1,0
4096,1000,1,1,1,0,0,-1,0
