VS,VD,CD,TYP,IDX,APD
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,768,0,0,-1,768
512,512,768,10,-1,-1
512,512,0,12,-1,0
512,768,512,10,-1,-3
512,768,0,0,-1,768
512,768,0,0,-1,3072
512,3072,0,0,-1,768
512,768,0,13,-1,0
512,768,0,13,-1,0
