VS,VD,CD,TYP,IDX,APD
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,1024,10,-1,-1
64,64,0,12,-1,0
64,1024,64,10,-1,-3
64,1024,0,0,-1,3072
64,3072,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,2048
64,2048,0,0,-1,1024
64,1024,0,13,-1,0
64,1024,0,0,-1,1000
