IC,OC,FS,KS,STR,TYP,RP,IDX,APD
3,64,228,8,2,1,2,-1,0
64,64,56,3,1,1,1,-1,0
64,64,56,3,1,1,0,-1,0
64,1,56,1,1,3,1,-1,-4
64,64,56,3,1,1,1,-1,0
64,64,56,3,1,1,0,-1,0
64,1,56,1,1,3,1,-1,-4
64,64,56,3,1,1,1,-1,0
64,64,56,3,1,1,0,-1,0
64,1,56,1,1,3,1,-1,-4
64,128,56,3,2,1,1,-1,0
128,128,28,3,1,1,0,-1,0
64,128,56,3,2,1,0,-4,0
128,1,28,1,1,3,1,-1,-2
128,128,28,3,1,1,1,-1,0
128,128,28,3,1,1,0,-1,0
128,1,28,1,1,3,1,-1,-4
128,128,28,3,1,1,1,-1,0
128,128,28,3,1,1,0,-1,0
128,1,28,1,1,3,1,-1,-4
128,128,28,3,1,1,1,-1,0
128,128,28,3,1,1,0,-1,0
128,1,28,1,1,3,1,-1,-4
128,256,28,3,2,1,1,-1,0
256,256,14,3,1,1,0,-1,0
128,256,28,3,2,1,0,-4,0
256,1,14,1,1,3,1,-1,-2
256,256,14,3,1,1,1,-1,0
256,256,14,3,1,1,0,-1,0
256,1,14,1,1,3,1,-1,-4
256,256,14,3,1,1,1,-1,0
256,256,14,3,1,1,0,-1,0
256,1,14,1,1,3,1,-1,-4
256,256,14,3,1,1,1,-1,0
256,256,14,3,1,1,0,-1,0
256,1,14,1,1,3,1,-1,-4
256,256,14,3,1,1,1,-1,0
256,256,14,3,1,1,0,-1,0
256,1,14,1,1,3,1,-1,-4
256,256,14,3,1,1,1,-1,0
256,256,14,3,1,1,0,-1,0
256,1,14,1,1,3,1,-1,-4
256,512,14,3,2,1,1,-1,0
512,512,7,3,1,1,0,-1,0
256,512,14,3,2,1,0,-4,0
512,1,7,1,1,3,1,-1,-2
512,512,7,3,1,1,1,-1,0
512,512,7,3,1,1,0,-1,0
512,1,7,1,1,3,1,-1,-4
512,512,7,3,1,1,1,-1,0
512,512,7,3,1,1,0,-1,0
512,1,7,1,1,3,7,-1,-4
512,1000,1,1,1,0,0,-1,1
